Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Chantal's New York Cheesecake,533,https://images.media-allrecipes.com/userphotos/300x300/5185165.jpg,12,35.7 ,44.2,10.3 ,159 ,380 ,Desserts,https://www.allrecipes.com/recipe/8350/chantals-new-york-cheesecake/
Easy Sugar Cookies,86,https://images.media-allrecipes.com/userphotos/300x300/4478596.jpg,48,4 ,11.7,0.9 ,14 ,60 ,Desserts,https://www.allrecipes.com/recipe/9870/easy-sugar-cookies/
Carrot Cake III,575,https://images.media-allrecipes.com/userphotos/300x300/1053595.jpg,18,34.8 ,63.7,5.1 ,69 ,347 ,Desserts,https://www.allrecipes.com/recipe/7402/carrot-cake-iii/
Mrs. Sigg's Snickerdoodles,92,https://images.media-allrecipes.com/userphotos/300x300/3206419.jpg,48,4.3 ,12.4,1 ,13 ,55 ,Desserts,https://www.allrecipes.com/recipe/10687/mrs-siggs-snickerdoodles/
Big Soft Ginger Cookies,143,https://images.media-allrecipes.com/userphotos/300x300/4574068.jpg,24,6 ,21.1,1.6 ,8 ,147 ,Desserts,https://www.allrecipes.com/recipe/17165/big-soft-ginger-cookies/
Creamy Rice Pudding,366,https://images.media-allrecipes.com/userphotos/300x300/3381043.jpg,4,6.9 ,67.6,8.8 ,64 ,237 ,Desserts,https://www.allrecipes.com/recipe/24059/creamy-rice-pudding/
Beth's Spicy Oatmeal Raisin Cookies,144,https://images.media-allrecipes.com/userphotos/300x300/1116153.jpg,36,6.3 ,20.6,1.9 ,17 ,92 ,Desserts,https://www.allrecipes.com/recipe/10497/beths-spicy-oatmeal-raisin-cookies/
Chewy Chocolate Chip Oatmeal Cookies,145,https://images.media-allrecipes.com/userphotos/300x300/493502.jpg,42,8.1 ,17.2,2.1 ,20 ,107 ,Desserts,https://www.allrecipes.com/recipe/24445/chewy-chocolate-chip-oatmeal-cookies/
Brooke's Best Bombshell Brownies,248,https://images.media-allrecipes.com/userphotos/300x300/358859.jpg,24,11.2 ,37.5,2.9 ,51 ,165 ,Desserts,https://www.allrecipes.com/recipe/143667/brookes-best-bombshell-brownies/
Soft Oatmeal Cookies,218,https://images.media-allrecipes.com/userphotos/300x300/3779973.jpg,24,8.8 ,32.3,3 ,36 ,213 ,Desserts,https://www.allrecipes.com/recipe/19247/soft-oatmeal-cookies/
Peanut Butter Cup Cookies,122,https://images.media-allrecipes.com/userphotos/300x300/271187.jpg,40,6.5 ,14.4,2.4 ,11 ,119 ,Desserts,https://www.allrecipes.com/recipe/9471/peanut-butter-cup-cookies/
Iced Pumpkin Cookies,122,https://images.media-allrecipes.com/userphotos/300x300/2718512.jpg,36,3.2 ,22.4,1.2 ,13 ,120 ,Desserts,https://www.allrecipes.com/recipe/10033/iced-pumpkin-cookies/
Double Layer Pumpkin Cheesecake,426,https://images.media-allrecipes.com/userphotos/300x300/303675.jpg,8,29 ,35.5,7.2 ,108 ,354 ,Desserts,https://www.allrecipes.com/recipe/13477/double-layer-pumpkin-cheesecake/
Chocolate Chocolate Chip Cookies I,125,https://images.media-allrecipes.com/userphotos/300x300/480783.jpg,48,7.1 ,15.5,1.5 ,18 ,63 ,Desserts,https://www.allrecipes.com/recipe/9827/chocolate-chocolate-chip-cookies-i/
Simple White Cake,209,https://images.media-allrecipes.com/userphotos/300x300/1437162.jpg,12,8.9 ,29.4,3.1 ,52 ,142 ,Desserts,https://www.allrecipes.com/recipe/17481/simple-white-cake/
Key Lime Pie VII,553,https://images.media-allrecipes.com/userphotos/300x300/4543755.jpg,8,20.5 ,84.7,10.9 ,45 ,324 ,Desserts,https://www.allrecipes.com/recipe/15880/key-lime-pie-vii/
Bread Pudding II,165,https://images.media-allrecipes.com/userphotos/300x300/5941077.jpg,12,4.8 ,26.5,4.6 ,70 ,140 ,Desserts,https://www.allrecipes.com/recipe/7177/bread-pudding-ii/
Fresh Southern Peach Cobbler,562,https://images.media-allrecipes.com/userphotos/300x300/2500761.jpg,4,17.6 ,99.4,3.5 ,46 ,400 ,Desserts,https://www.allrecipes.com/recipe/51535/fresh-southern-peach-cobbler/
One Bowl Chocolate Cake III,157,https://images.media-allrecipes.com/userphotos/300x300/708879.jpg,24,5.7 ,25.7,2.3 ,16 ,217 ,Desserts,https://www.allrecipes.com/recipe/17981/one-bowl-chocolate-cake-iii/
Classic Peanut Butter Cookies,252,https://images.media-allrecipes.com/userphotos/300x300/4310029.jpg,24,13.6 ,29.7,4.5 ,36 ,209 ,Desserts,https://www.allrecipes.com/recipe/10275/classic-peanut-butter-cookies/
Banana Pudding IV,398,https://images.media-allrecipes.com/userphotos/300x300/3066452.jpg,12,16.6 ,55.1,7 ,37 ,333 ,Desserts,https://www.allrecipes.com/recipe/21398/banana-pudding-iv/
White Chocolate Raspberry Cheesecake,412,https://images.media-allrecipes.com/userphotos/300x300/584781.jpg,16,28.3 ,34.4,6.8 ,96 ,226 ,Desserts,https://www.allrecipes.com/recipe/25642/white-chocolate-raspberry-cheesecake/
Country Apple Dumplings,333,https://images.media-allrecipes.com/userphotos/300x300/3557109.jpg,16,19 ,38.5,2.7 ,31 ,360 ,Desserts,https://www.allrecipes.com/recipe/102133/country-apple-dumplings/
Perfect Pumpkin Pie,379,https://images.media-allrecipes.com/userphotos/300x300/5895606.jpg,8,14.3 ,30.5,5.9 ,64 ,352 ,Desserts,https://www.allrecipes.com/recipe/23439/perfect-pumpkin-pie/
Zucchini Brownies,209,https://images.media-allrecipes.com/userphotos/300x300/103496.jpg,24,8.6 ,32.9,2.3 ,< 1 ,200 ,Desserts,https://www.allrecipes.com/recipe/25112/zucchini-brownies/
Sweet Potato Pie I,389,https://images.media-allrecipes.com/userphotos/300x300/1484910.jpg,8,20.6 ,47.8,4.5 ,78 ,254 ,Desserts,https://www.allrecipes.com/recipe/12142/sweet-potato-pie-i/
Black Magic Cake,155,https://images.media-allrecipes.com/userphotos/300x300/1117116.jpg,24,5.5 ,25.7,2.3 ,16 ,240 ,Desserts,https://www.allrecipes.com/recipe/8372/black-magic-cake/
Sam's Famous Carrot Cake,374,https://images.media-allrecipes.com/userphotos/300x300/4131886.jpg,15,18.8 ,48.7,5.2 ,38 ,259 ,Desserts,https://www.allrecipes.com/recipe/8270/sams-famous-carrot-cake/
Oatmeal Peanut Butter Cookies,120,https://images.media-allrecipes.com/userphotos/300x300/4526329.jpg,48,7.1 ,12.8,2.3 ,8 ,152 ,Desserts,https://www.allrecipes.com/recipe/10308/oatmeal-peanut-butter-cookies/
The Best Lemon Bars,126,https://images.media-allrecipes.com/userphotos/300x300/1394851.jpg,36,5.8 ,17.8,1.6 ,34 ,44 ,Desserts,https://www.allrecipes.com/recipe/10294/the-best-lemon-bars/
Peanut Butter Bars I,532,https://images.media-allrecipes.com/userphotos/300x300/4548869.jpg,12,36.6 ,49.2,8.8 ,41 ,320 ,Desserts,https://www.allrecipes.com/recipe/9999/peanut-butter-bars-i/
Extreme Chocolate Cake,655,https://images.media-allrecipes.com/userphotos/300x300/693494.jpg,12,24.6 ,111.1,7.3 ,64 ,524 ,Desserts,https://www.allrecipes.com/recipe/17528/extreme-chocolate-cake/
Pecan Pie V,313,https://images.media-allrecipes.com/userphotos/300x300/4405428.jpg,8,22.6 ,26.9,3.1 ,77 ,105 ,Desserts,https://www.allrecipes.com/recipe/22544/pecan-pie-v/
Flourless Peanut Butter Cookies,394,https://images.media-allrecipes.com/userphotos/300x300/695277.jpg,6,22.5 ,41.8,11.8 ,31 ,209 ,Desserts,https://www.allrecipes.com/recipe/9998/flourless-peanut-butter-cookies/
Outrageous Chocolate Chip Cookies,207,https://images.media-allrecipes.com/userphotos/300x300/3518442.jpg,18,12 ,23.7,3.6 ,24 ,178 ,Desserts,https://www.allrecipes.com/recipe/10141/outrageous-chocolate-chip-cookies/
Raspberry and Almond Shortbread Thumbprints,104,https://images.media-allrecipes.com/userphotos/300x300/1074378.jpg,36,5.2 ,13.7,0.8 ,14 ,37 ,Desserts,https://www.allrecipes.com/recipe/10222/raspberry-and-almond-shortbread-thumbprints/
Grandma's Lemon Meringue Pie,298,https://images.media-allrecipes.com/userphotos/300x300/672049.jpg,8,10.3 ,49.7,4.4 ,110 ,229 ,Desserts,https://www.allrecipes.com/recipe/15093/grandmas-lemon-meringue-pie/
Banana Cake VI,453,https://images.media-allrecipes.com/userphotos/300x300/848894.jpg,18,18.4 ,68.6,5.2 ,79 ,299 ,Desserts,https://www.allrecipes.com/recipe/8333/banana-cake-vi/
MMMMM... Brownies,141,https://images.media-allrecipes.com/userphotos/300x300/728522.jpg,16,6.8 ,20.2,2 ,27 ,113 ,Desserts,https://www.allrecipes.com/recipe/25080/mmmmm-brownies/
Aunt Teen's Creamy Chocolate Fudge,124,https://images.media-allrecipes.com/userphotos/300x300/4104013.jpg,48,5.5 ,18.2,1.4 ,5 ,26 ,Desserts,https://www.allrecipes.com/recipe/15821/aunt-teens-creamy-chocolate-fudge/
Sopapilla Cheesecake Pie,481,https://images.media-allrecipes.com/userphotos/300x300/453301.jpg,12,28.7 ,50.8,5.6 ,61 ,459 ,Desserts,https://www.allrecipes.com/recipe/169305/sopapilla-cheesecake-pie/
Easiest Peanut Butter Fudge,357,https://images.media-allrecipes.com/userphotos/300x300/1845022.jpg,15,12.8 ,60.1,3.6 ,17 ,115 ,Desserts,https://www.allrecipes.com/recipe/22724/easiest-peanut-butter-fudge/
Cake Balls,124,https://images.media-allrecipes.com/userphotos/300x300/599097.jpg,36,5.2 ,19.7,1.1 ,< 1 ,143 ,Desserts,https://www.allrecipes.com/recipe/67656/cake-balls/
Caramel Popcorn,253,https://images.media-allrecipes.com/userphotos/300x300/967336.jpg,20,14 ,32.8,0.9 ,24 ,340 ,Desserts,https://www.allrecipes.com/recipe/24952/caramel-popcorn/
No Bake Cookies III,172,https://images.media-allrecipes.com/userphotos/300x300/3315539.jpg,24,7.3 ,25.2,3 ,< 1 ,71 ,Desserts,https://www.allrecipes.com/recipe/10745/no-bake-cookies-iii/
Greek Baklava,393,https://images.media-allrecipes.com/userphotos/300x300/5500391.jpg,18,25.9 ,37.5,6.1 ,27 ,196 ,Desserts,https://www.allrecipes.com/recipe/9454/greek-baklava/
No Bake Peanut Butter Pie,432,https://images.media-allrecipes.com/userphotos/300x300/729302.jpg,16,27.8 ,41.4,7.2 ,17 ,299 ,Desserts,https://www.allrecipes.com/recipe/12181/no-bake-peanut-butter-pie/
Soft Sugar Cookies IV,228,https://images.media-allrecipes.com/userphotos/300x300/270795.jpg,24,11.4 ,29.4,2.5 ,29 ,180 ,Desserts,https://www.allrecipes.com/recipe/15295/soft-sugar-cookies-iv/
Chocolate Crinkles II,58,https://images.media-allrecipes.com/userphotos/300x300/430444.jpg,72,2 ,9.8,0.9 ,10 ,34 ,Desserts,https://www.allrecipes.com/recipe/9861/chocolate-crinkles-ii/
Chocolate Trifle,488,https://images.media-allrecipes.com/userphotos/300x300/5639327.jpg,12,18.8 ,73.7,4.8 ,12 ,314 ,Desserts,https://www.allrecipes.com/recipe/19017/chocolate-trifle/
Oatmeal Raisin Cookies I,92,https://images.media-allrecipes.com/userphotos/300x300/537376.jpg,48,3.4 ,14.6,1.3 ,15 ,75 ,Desserts,https://www.allrecipes.com/recipe/10264/oatmeal-raisin-cookies-i/
Cracked Sugar Cookies I,163,https://images.media-allrecipes.com/userphotos/300x300/1104175.jpg,24,8.4 ,20.5,1.8 ,46 ,108 ,Desserts,https://www.allrecipes.com/recipe/9864/cracked-sugar-cookies-i/
Easy Batter Fruit Cobbler,384,https://images.media-allrecipes.com/userphotos/300x300/4487754.jpg,4,12.6 ,64.9,4.1 ,34 ,371 ,Desserts,https://www.allrecipes.com/recipe/88354/easy-batter-fruit-cobbler/
Tiramisu II,387,https://images.media-allrecipes.com/userphotos/300x300/864554.jpg,12,30.5 ,22.7,6.6 ,216 ,60 ,Desserts,https://www.allrecipes.com/recipe/21412/tiramisu-ii/
Blonde Brownies I,477,https://images.media-allrecipes.com/userphotos/300x300/3664098.jpg,6,23.2 ,65.4,5.6 ,58 ,358 ,Desserts,https://www.allrecipes.com/recipe/10177/blonde-brownies-i/
Delicious Raspberry Oatmeal Cookie Bars,292,https://images.media-allrecipes.com/userphotos/300x300/364810.jpg,9,11 ,47,2.7 ,27 ,144 ,Desserts,https://www.allrecipes.com/recipe/11314/delicious-raspberry-oatmeal-cookie-bars/
Tiramisu Layer Cake,465,https://images.media-allrecipes.com/userphotos/300x300/4443088.jpg,12,28.9 ,46.3,4.4 ,78 ,309 ,Desserts,https://www.allrecipes.com/recipe/25639/tiramisu-layer-cake/
Easy Lemon Cookies,87,https://images.media-allrecipes.com/userphotos/300x300/5976758.jpg,36,4 ,11.6,1.2 ,14 ,107 ,Desserts,https://www.allrecipes.com/recipe/10776/easy-lemon-cookies/
Blueberry Pie,366,https://images.media-allrecipes.com/userphotos/300x300/202488.jpg,8,16.6 ,52.6,3.3 ,4 ,318 ,Desserts,https://www.allrecipes.com/recipe/12196/blueberry-pie/
Pumpkin Chocolate Chip Cookies III,202,https://images.media-allrecipes.com/userphotos/300x300/473562.jpg,24,10.7 ,26.6,2.4 ,8 ,171 ,Desserts,https://www.allrecipes.com/recipe/10740/pumpkin-chocolate-chip-cookies-iii/
Judy's Strawberry Pretzel Salad,371,https://images.media-allrecipes.com/userphotos/300x300/597421.jpg,16,22.3 ,41.2,4.2 ,54 ,327 ,Desserts,https://www.allrecipes.com/recipe/16080/judys-strawberry-pretzel-salad/
Quick and Easy Brownies,229,https://images.media-allrecipes.com/userphotos/300x300/3598901.jpg,20,12.2 ,28.8,3.1 ,62 ,150 ,Desserts,https://www.allrecipes.com/recipe/9599/quick-and-easy-brownies/
Chewy Coconut Cookies,75,https://images.media-allrecipes.com/userphotos/300x300/583756.jpg,36,3.5 ,10.5,0.7 ,12 ,62 ,Desserts,https://www.allrecipes.com/recipe/9589/chewy-coconut-cookies/
Joey's Peanut Butter Cookies,106,https://images.media-allrecipes.com/userphotos/300x300/746137.jpg,36,6.4 ,10.6,2.5 ,12 ,81 ,Desserts,https://www.allrecipes.com/recipe/11024/joeys-peanut-butter-cookies/
Mmm-Mmm Better Brownies,161,https://images.media-allrecipes.com/userphotos/300x300/5303906.jpg,16,10.2 ,17.1,2.1 ,23 ,53 ,Desserts,https://www.allrecipes.com/recipe/10707/mmm-mmm-better-brownies/
Chewy Sugar Cookies,172,https://images.media-allrecipes.com/userphotos/300x300/489452.jpg,30,7.9 ,23.9,1.7 ,12 ,173 ,Desserts,https://www.allrecipes.com/recipe/22850/chewy-sugar-cookies/
Golden Rum Cake,562,https://images.media-allrecipes.com/userphotos/300x300/6175582.jpg,12,29.9 ,59.2,5.6 ,83 ,476 ,Desserts,https://www.allrecipes.com/recipe/17456/golden-rum-cake/
Old Fashioned Coconut Cream Pie,423,https://images.media-allrecipes.com/userphotos/300x300/4899464.jpg,8,23.5 ,46.1,6.8 ,80 ,276 ,Desserts,https://www.allrecipes.com/recipe/12481/old-fashioned-coconut-cream-pie/
Chewy Peanut Butter Chocolate Chip Cookies,246,https://images.media-allrecipes.com/userphotos/300x300/46624.jpg,24,11.6 ,33.5,4.3 ,26 ,163 ,Desserts,https://www.allrecipes.com/recipe/9996/chewy-peanut-butter-chocolate-chip-cookies/
Cranberry Pistachio Biscotti,92,https://images.media-allrecipes.com/userphotos/300x300/1076432.jpg,36,4.3 ,11.7,2.1 ,10 ,55 ,Desserts,https://www.allrecipes.com/recipe/10638/cranberry-pistachio-biscotti/
Dark Chocolate Cake I,427,https://images.media-allrecipes.com/userphotos/300x300/844348.jpg,12,18.3 ,63.5,6.6 ,103 ,463 ,Desserts,https://www.allrecipes.com/recipe/7736/dark-chocolate-cake-i/
Pretzel Turtles®,82,https://images.media-allrecipes.com/userphotos/300x300/1775851.jpg,20,2.2 ,14.1,1.7 ,< 1 ,263 ,Desserts,https://www.allrecipes.com/recipe/96749/pretzel-turtles/
David's Yellow Cake,360,https://images.media-allrecipes.com/userphotos/300x300/2371728.jpg,12,18.8 ,44.2,4.3 ,178 ,278 ,Desserts,https://www.allrecipes.com/recipe/24972/davids-yellow-cake/
Chocolate Cavity Maker Cake,528,https://images.media-allrecipes.com/userphotos/300x300/4535805.jpg,12,26.4 ,66,6.1 ,63 ,498 ,Desserts,https://www.allrecipes.com/recipe/8446/chocolate-cavity-maker-cake/
Fudge,407,https://images.media-allrecipes.com/userphotos/300x300/150611.jpg,16,22.5 ,46.2,6.3 ,16 ,52 ,Desserts,https://www.allrecipes.com/recipe/9368/fudge/
Best Carrot Cake Ever,457,https://images.media-allrecipes.com/userphotos/300x300/3605684.jpg,16,20.2 ,66.3,5.9 ,46 ,315 ,Desserts,https://www.allrecipes.com/recipe/17393/best-carrot-cake-ever/
Tres Leches (Milk Cake),280,https://images.media-allrecipes.com/userphotos/300x300/384988.jpg,24,13.7 ,34.6,5.5 ,81 ,87 ,Desserts,https://www.allrecipes.com/recipe/7399/tres-leches-milk-cake/
Chocolate Eclair Dessert,401,https://images.media-allrecipes.com/userphotos/300x300/4536398.jpg,12,13.7 ,65.6,4.2 ,5 ,481 ,Desserts,https://www.allrecipes.com/recipe/19009/chocolate-eclair-dessert/
My Amish Friend's Caramel Corn,238,https://images.media-allrecipes.com/userphotos/300x300/1073039.jpg,28,16.3 ,21.9,3.4 ,0 ,388 ,Desserts,https://www.allrecipes.com/recipe/74950/my-amish-friends-caramel-corn/
Saltine Toffee Cookies,150,https://images.media-allrecipes.com/userphotos/300x300/781338.jpg,35,10.2 ,15,1.3 ,14 ,73 ,Desserts,https://www.allrecipes.com/recipe/11376/saltine-toffee-cookies/
Melt - In - Your - Mouth Shortbread,111,https://images.media-allrecipes.com/userphotos/300x300/4640702.jpg,24,7.8 ,9.7,0.9 ,20 ,55 ,Desserts,https://www.allrecipes.com/recipe/10856/melt-in-your-mouth-shortbread/
Apple Squares,143,https://images.media-allrecipes.com/userphotos/300x300/556599.jpg,16,5.7 ,22.1,1.8 ,19 ,94 ,Desserts,https://www.allrecipes.com/recipe/15067/apple-squares/
Soft Christmas Cookies,97,https://images.media-allrecipes.com/userphotos/300x300/56142.jpg,48,4 ,13.8,1.3 ,8 ,81 ,Desserts,https://www.allrecipes.com/recipe/10110/soft-christmas-cookies/
Blueberry Buckle,319,https://images.media-allrecipes.com/userphotos/300x300/1011977.jpg,10,10.8 ,52.4,4.3 ,32 ,259 ,Desserts,https://www.allrecipes.com/recipe/7985/blueberry-buckle/
Coconut Macaroons III,287,https://images.media-allrecipes.com/userphotos/300x300/747272.jpg,12,12.4 ,40.7,4.4 ,11 ,187 ,Desserts,https://www.allrecipes.com/recipe/25787/coconut-macaroons-iii/
Ruth's Grandma's Pie Crust,163,https://images.media-allrecipes.com/userphotos/300x300/4197810.jpg,32,11.5 ,13.1,1.8 ,6 ,148 ,Desserts,https://www.allrecipes.com/recipe/15995/ruths-grandmas-pie-crust/
Easy Key Lime Pie I,324,https://images.media-allrecipes.com/userphotos/300x300/828717.jpg,8,13.6 ,45.5,6.7 ,145 ,217 ,Desserts,https://www.allrecipes.com/recipe/12698/easy-key-lime-pie-i/
Cream Puffs,190,https://images.media-allrecipes.com/userphotos/300x300/6206622.jpg,20,13.3 ,15.2,2.9 ,77 ,231 ,Desserts,https://www.allrecipes.com/recipe/15869/cream-puffs/
German Apple Cake I,201,https://images.media-allrecipes.com/userphotos/300x300/2327614.jpg,24,9.7 ,27.7,1.7 ,16 ,107 ,Desserts,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/
Banana Cream Pie I,303,https://images.media-allrecipes.com/userphotos/300x300/3355919.jpg,8,11.1 ,47.2,4.9 ,89 ,224 ,Desserts,https://www.allrecipes.com/recipe/12151/banana-cream-pie-i/
Eileen's Spicy Gingerbread Men,88,https://images.media-allrecipes.com/userphotos/300x300/2985870.jpg,30,3.3 ,14,1 ,7 ,103 ,Desserts,https://www.allrecipes.com/recipe/56673/eileens-spicy-gingerbread-men/
Cream Cheese Squares,213,https://images.media-allrecipes.com/userphotos/300x300/258571.jpg,24,14.2 ,18.4,2.8 ,21 ,246 ,Desserts,https://www.allrecipes.com/recipe/25832/cream-cheese-squares/
Cream Cheese Pound Cake III,525,https://images.media-allrecipes.com/userphotos/300x300/3997515.jpg,14,27.7 ,63.9,6.9 ,150 ,218 ,Desserts,https://www.allrecipes.com/recipe/8384/cream-cheese-pound-cake-iii/
Red Velvet Cupcakes,276,https://images.media-allrecipes.com/userphotos/300x300/5789703.jpg,30,13.1 ,37.8,3.2 ,57 ,174 ,Desserts,https://www.allrecipes.com/recipe/212429/red-velvet-cupcakes/
Chocolate Chip Cookie Dough + Cupcake = The BEST Cupcake.  Ever.,256,https://images.media-allrecipes.com/userphotos/300x300/672341.jpg,24,12.5 ,34,3.2 ,42 ,215 ,Desserts,https://www.allrecipes.com/recipe/190739/chocolate-chip-cookie-dough-cupcake-the-best-cupcake-ever/
Paul's Pumpkin Bars,279,https://images.media-allrecipes.com/userphotos/300x300/890648.jpg,24,15.2 ,34.1,2.6 ,45 ,282 ,Desserts,https://www.allrecipes.com/recipe/11646/pauls-pumpkin-bars/
Robbi's M&Ms® Cookies,82,https://images.media-allrecipes.com/userphotos/300x300/470667.jpg,72,3.9 ,10.8,0.8 ,6 ,55 ,Desserts,https://www.allrecipes.com/recipe/10785/robbis-mms-cookies/
Chocolate Cornstarch Pudding,274,https://images.media-allrecipes.com/userphotos/300x300/1042501.jpg,4,9.6 ,42.5,6.4 ,29 ,184 ,Desserts,https://www.allrecipes.com/recipe/44699/chocolate-cornstarch-pudding/
Russian Tea Cakes I,102,https://images.media-allrecipes.com/userphotos/300x300/27364.jpg,36,7.3 ,8.2,1.3 ,14 ,37 ,Desserts,https://www.allrecipes.com/recipe/10192/russian-tea-cakes-i/
Anna's Chocolate Chip Cookies,120,https://images.media-allrecipes.com/userphotos/300x300/5318469.jpg,48,6.2 ,16,1.3 ,18 ,107 ,Desserts,https://www.allrecipes.com/recipe/10909/annas-chocolate-chip-cookies/
Chocolate Cupcakes,158,https://images.media-allrecipes.com/userphotos/300x300/5481524.jpg,16,3.9 ,29.8,3.2 ,30 ,114 ,Desserts,https://www.allrecipes.com/recipe/17377/chocolate-cupcakes/
White Chocolate and Cranberry Cookies,147,https://images.media-allrecipes.com/userphotos/300x300/875336.jpg,24,6.1 ,21.9,1.5 ,19 ,64 ,Desserts,https://www.allrecipes.com/recipe/10917/white-chocolate-and-cranberry-cookies/
Granny Kat's Pumpkin Roll,316,https://images.media-allrecipes.com/userphotos/300x300/4241036.jpg,10,14.1 ,43.7,4.9 ,93 ,306 ,Desserts,https://www.allrecipes.com/recipe/16049/granny-kats-pumpkin-roll/
Triple Berry Crisp,295,https://images.media-allrecipes.com/userphotos/300x300/828183.jpg,18,16.3 ,35.6,3.2 ,41 ,113 ,Desserts,https://www.allrecipes.com/recipe/52547/triple-berry-crisp/
Bake Sale Lemon Bars,107,https://images.media-allrecipes.com/userphotos/300x300/210982.jpg,36,4.3 ,16.3,1.2 ,26 ,33 ,Desserts,https://www.allrecipes.com/recipe/10756/bake-sale-lemon-bars/
Crustless Cranberry Pie,335,https://images.media-allrecipes.com/userphotos/300x300/4580852.jpg,8,17.7 ,41.4,4.5 ,77 ,173 ,Desserts,https://www.allrecipes.com/recipe/12398/crustless-cranberry-pie/
Oatmeal Peanut Butter Cookies III,397,https://images.media-allrecipes.com/userphotos/300x300/591345.jpg,12,23.5 ,42.2,7.8 ,48 ,343 ,Desserts,https://www.allrecipes.com/recipe/10759/oatmeal-peanut-butter-cookies-iii/
No Bake Cookies V,116,https://images.media-allrecipes.com/userphotos/300x300/28216.jpg,36,4.9 ,17,2 ,< 1 ,58 ,Desserts,https://www.allrecipes.com/recipe/16617/no-bake-cookies-v/
Better Than Sex Cake II,193,https://images.media-allrecipes.com/userphotos/300x300/229313.jpg,24,7.6 ,29.3,2.7 ,10 ,211 ,Desserts,https://www.allrecipes.com/recipe/7515/better-than-sex-cake-ii/
Favorite Old Fashioned Gingerbread,375,https://images.media-allrecipes.com/userphotos/300x300/4558051.jpg,9,11.2 ,65.3,4.4 ,48 ,435 ,Desserts,https://www.allrecipes.com/recipe/7322/favorite-old-fashioned-gingerbread/
Healthy Banana Cookies,56,https://images.media-allrecipes.com/userphotos/300x300/3636087.jpg,36,2.4 ,8.4,0.8 ,0 ,< 1 ,Desserts,https://www.allrecipes.com/recipe/9615/healthy-banana-cookies/
Mom's Chocolate Chip Cookies,233,https://images.media-allrecipes.com/userphotos/300x300/3262491.jpg,24,12.4 ,30.5,2.4 ,36 ,175 ,Desserts,https://www.allrecipes.com/recipe/10331/moms-chocolate-chip-cookies/
Three Ingredient Peanut Butter Cookies,394,https://images.media-allrecipes.com/userphotos/300x300/178805.jpg,6,22.5 ,41.8,11.8 ,31 ,209 ,Desserts,https://www.allrecipes.com/recipe/11352/three-ingredient-peanut-butter-cookies/
Best Toffee Ever - Super Easy,226,https://images.media-allrecipes.com/userphotos/300x300/277766.jpg,32,16.9 ,20,1.5 ,31 ,101 ,Desserts,https://www.allrecipes.com/recipe/73412/best-toffee-ever-super-easy/
Blueberry Sour Cream Coffee Cake,459,https://images.media-allrecipes.com/userphotos/300x300/5996429.jpg,12,24 ,59.5,4.1 ,80 ,223 ,Desserts,https://www.allrecipes.com/recipe/70828/blueberry-sour-cream-coffee-cake/
Jam Filled Butter Cookies,82,https://images.media-allrecipes.com/userphotos/300x300/403167.jpg,36,4.1 ,10.5,0.8 ,22 ,29 ,Desserts,https://www.allrecipes.com/recipe/25100/jam-filled-butter-cookies/
Chocolate Covered Strawberries,115,https://images.media-allrecipes.com/userphotos/300x300/845742.jpg,24,7.3 ,12.7,1.4 ,6 ,31 ,Desserts,https://www.allrecipes.com/recipe/21712/chocolate-covered-strawberries/
Cranberry Orange Cookies,110,https://images.media-allrecipes.com/userphotos/300x300/154003.jpg,48,4.8 ,16.2,1.1 ,14 ,67 ,Desserts,https://www.allrecipes.com/recipe/40180/cranberry-orange-cookies/
Kentucky Butter Cake,508,https://images.media-allrecipes.com/userphotos/300x300/5833612.jpg,12,22.6 ,71.1,6.2 ,117 ,467 ,Desserts,https://www.allrecipes.com/recipe/7479/kentucky-butter-cake/
Award Winning Peaches and Cream Pie,370,https://images.media-allrecipes.com/userphotos/300x300/3884339.jpg,8,15.2 ,53.8,5.5 ,67 ,422 ,Desserts,https://www.allrecipes.com/recipe/15142/award-winning-peaches-and-cream-pie/
Irish Cream Bundt Cake,590,https://images.media-allrecipes.com/userphotos/300x300/1887966.jpg,12,30.1 ,68.4,4.9 ,83 ,477 ,Desserts,https://www.allrecipes.com/recipe/17422/irish-cream-bundt-cake/
Libby's® Famous Pumpkin Pie,283,https://images.media-allrecipes.com/userphotos/300x300/1477815.jpg,8,12.1 ,38.7,6.4 ,59 ,357 ,Desserts,https://www.allrecipes.com/recipe/22755/libbys-famous-pumpkin-pie/
Pumpkin Apple Streusel Muffins,249,https://images.media-allrecipes.com/userphotos/300x300/515197.jpg,18,8 ,42.6,2.8 ,23 ,182 ,Desserts,https://www.allrecipes.com/recipe/20237/pumpkin-apple-streusel-muffins/
Mom's Best Peanut Brittle,143,https://images.media-allrecipes.com/userphotos/300x300/6074916.jpg,16,6 ,22.3,2.2 ,4 ,132 ,Desserts,https://www.allrecipes.com/recipe/15987/moms-best-peanut-brittle/
Strawberry Cake from Scratch,393,https://images.media-allrecipes.com/userphotos/300x300/3580865.jpg,14,15.4 ,59.3,5.4 ,90 ,233 ,Desserts,https://www.allrecipes.com/recipe/60564/strawberry-cake-from-scratch/
