Name,Calories,Image URL,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Best Guacamole,56,https://images.media-allrecipes.com/userphotos/300x300/363326.jpg,16,5.4 ,2.6,0.6 ,0 ,75 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14837/best-guacamole/
Crab Dip,198,https://images.media-allrecipes.com/userphotos/300x300/326528.jpg,16,11.5 ,15.3,8.4 ,42 ,318 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/12799/crab-dip/
Hot Bean Dip,196,https://images.media-allrecipes.com/userphotos/300x300/5733524.jpg,20,14 ,8.6,9.3 ,43 ,357 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22163/hot-bean-dip/
Best Egg Rolls,334,https://images.media-allrecipes.com/userphotos/300x300/5174296.jpg,8,20.5 ,22.6,14.2 ,40 ,220 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14704/best-egg-rolls/
Extra Easy Hummus,118,https://images.media-allrecipes.com/userphotos/300x300/588854.jpg,4,4.4 ,16.5,3.7 ,0 ,502 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20797/extra-easy-hummus/
Nacho Cheese Sauce,282,https://images.media-allrecipes.com/userphotos/300x300/587862.jpg,4,22.5 ,6.6,13.5 ,67 ,1095 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24738/nacho-cheese-sauce/
Seven Layer Dip I,277,https://images.media-allrecipes.com/userphotos/300x300/672622.jpg,15,19.5 ,9.3,16.8 ,63 ,447 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16845/seven-layer-dip-i/
Apple Dip,137,https://images.media-allrecipes.com/userphotos/300x300/783116.jpg,8,9.8 ,9.8,2.1 ,31 ,86 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14978/apple-dip/
Dawn's Candied Walnuts,238,https://images.media-allrecipes.com/userphotos/300x300/2405917.jpg,16,18.6 ,16.9,4.5 ,< 1 ,39 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9443/dawns-candied-walnuts/
Vicki's Hush Puppies,277,https://images.media-allrecipes.com/userphotos/300x300/1400328.jpg,8,12.9 ,36.7,4.6 ,46 ,407 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25241/vickis-hush-puppies/
Gary's Stuffed Mushrooms,413,https://images.media-allrecipes.com/userphotos/300x300/1037150.jpg,12,37.9 ,14.4,5.9 ,106 ,693 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24174/garys-stuffed-mushrooms/
Restaurant Style Chicken Nachos,407,https://images.media-allrecipes.com/userphotos/300x300/745665.jpg,6,25.7 ,24.4,21.4 ,54 ,670 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26924/restaurant-style-chicken-nachos/
Ali's Amazing Bruschetta,176,https://images.media-allrecipes.com/userphotos/300x300/3605381.jpg,6,7.2 ,22.4,5.6 ,4 ,288 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/48156/alis-amazing-bruschetta/
Grill Master Chicken Wings,181,https://images.media-allrecipes.com/userphotos/300x300/1311361.jpg,10,14.6 ,2.3,10.1 ,41 ,1154 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213068/grill-master-chicken-wings/
Cheese Fondue,670,https://images.media-allrecipes.com/userphotos/300x300/3219684.jpg,5,28.9 ,56.9,36.5 ,91 ,940 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13714/cheese-fondue/
Best Bruschetta Ever,47,https://images.media-allrecipes.com/userphotos/300x300/5268558.jpg,8,4.2 ,1.5,1.3 ,2 ,40 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27192/best-bruschetta-ever/
Di's Delicious Deluxe Deviled Eggs,70,https://images.media-allrecipes.com/userphotos/300x300/34099.jpg,12,6.1 ,0.6,3.2 ,95 ,63 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25532/dis-delicious-deluxe-deviled-eggs/
Chicken Enchilada Dip,128,https://images.media-allrecipes.com/userphotos/300x300/963772.jpg,30,11.5 ,0.8,5.7 ,28 ,163 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24643/chicken-enchilada-dip/
Chicken Flautas,127,https://images.media-allrecipes.com/userphotos/300x300/355157.jpg,36,5.5 ,12.1,7.7 ,20 ,135 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8878/chicken-flautas/
Artichoke Spinach Dip,80,https://images.media-allrecipes.com/userphotos/300x300/2781831.jpg,56,7.5 ,1.6,2 ,19 ,90 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26699/artichoke-spinach-dip/
Roasted Garlic Bread,322,https://images.media-allrecipes.com/userphotos/300x300/797993.jpg,8,17.3 ,35.4,6.9 ,32 ,436 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/75133/roasted-garlic-bread/
Hot Mexican Spinach Dip,40,https://images.media-allrecipes.com/userphotos/300x300/2379445.jpg,56,3.1 ,1.4,1.9 ,9 ,100 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24191/hot-mexican-spinach-dip/
The Best Fresh Tomato Salsa,5,https://images.media-allrecipes.com/userphotos/300x300/431683.jpg,40,0 ,1.1,0.2 ,0 ,25 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/214893/the-best-fresh-tomato-salsa/
Pita Chips,125,https://images.media-allrecipes.com/userphotos/300x300/5270122.jpg,24,5.3 ,17.7,3.2 ,0 ,246 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14827/pita-chips/
Tomatillo Salsa Verde,24,https://images.media-allrecipes.com/userphotos/300x300/818535.jpg,8,0.6 ,4.6,0.8 ,0 ,439 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/94028/tomatillo-salsa-verde/
Divine Hard-Boiled Eggs,72,https://images.media-allrecipes.com/userphotos/300x300/191512.jpg,12,5 ,0.4,6.3 ,186 ,70 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/176229/divine-hard-boiled-eggs/
Pico De Gallo,21,https://images.media-allrecipes.com/userphotos/300x300/377426.jpg,4,0.1 ,4.7,0.8 ,0 ,76 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/35304/pico-de-gallo/
Slow Cooker Reuben Dip,298,https://images.media-allrecipes.com/userphotos/300x300/2212506.jpg,12,22.9 ,5.5,17.9 ,76 ,636 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89707/slow-cooker-reuben-dip/
Candied Pecans ,393,https://images.media-allrecipes.com/userphotos/300x300/965865.jpg,10,32.7 ,26.5,4.5 ,0 ,238 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/230557/candied-pecans/
Pumpkin Dip,61,https://images.media-allrecipes.com/userphotos/300x300/4209804.jpg,32,2.5 ,9.4,0.7 ,8 ,53 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26498/pumpkin-dip/
Baba Ghanoush,66,https://images.media-allrecipes.com/userphotos/300x300/874781.jpg,12,5.2 ,4.6,1.6 ,0 ,7 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14859/baba-ghanoush/
Baked Tortilla Chips,147,https://images.media-allrecipes.com/userphotos/300x300/4457655.jpg,6,4.1 ,26,3.3 ,0 ,418 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20482/baked-tortilla-chips/
Special Deviled Eggs,151,https://images.media-allrecipes.com/userphotos/300x300/4526971.jpg,6,12.4 ,4,6.6 ,189 ,220 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22390/special-deviled-eggs/
