Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Antipasto Squares,452,10,29.1 ,25.3,20 ,104 ,1291 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/57808/antipasto-squares/
Roasted Pumpkin Seeds,83,6,4.5 ,8.6,3 ,4 ,12 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13768/roasted-pumpkin-seeds/
Outrageous Warm Chicken Nacho Dip,232,12,13.6 ,8.7,18.6 ,60 ,790 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/157940/outrageous-warm-chicken-nacho-dip/
Mahogany Chicken Wings,773,5,43.6 ,43.1,51.9 ,210 ,1650 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25505/mahogany-chicken-wings/
The Best Sweet and Sour Meatballs,516,4,16.8 ,67.1,24.5 ,122 ,815 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26673/the-best-sweet-and-sour-meatballs/
Corn Fritters,133,12,7.8 ,14,2.7 ,18 ,224 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/18040/corn-fritters/
Fresh Tomato Salsa,51,4,0.2 ,9.7,2.1 ,0 ,592 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14088/fresh-tomato-salsa/
Southern Pimento Cheese,208,12,19.9 ,2.1,6.3 ,44 ,229 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/189930/southern-pimento-cheese/
Baked Chicken Wings,532,2,43.1 ,3.9,31.7 ,97 ,123 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/187822/baked-chicken-wings/
Black Bean Hummus,81,8,3.1 ,10.3,3.9 ,0 ,427 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13930/black-bean-hummus/
Spiced Sweet Roasted Red Pepper Hummus,64,8,2.2 ,9.6,2.5 ,0 ,370 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15006/spiced-sweet-roasted-red-pepper-hummus/
Baked Ham and Cheese Party Sandwiches,208,24,14 ,10.8,9.8 ,43 ,439 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/216756/baked-ham-and-cheese-party-sandwiches/
Hot Artichoke Spinach Dip,82,16,6 ,3.1,4.3 ,19 ,203 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14814/hot-artichoke-spinach-dip/
Vietnamese Fresh Spring Rolls,82,8,0.7 ,15.8,3.3 ,11 ,305 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24239/vietnamese-fresh-spring-rolls/
Best Guacamole,56,16,5.4 ,2.6,0.6 ,0 ,75 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14837/best-guacamole/
Crab Dip,198,16,11.5 ,15.3,8.4 ,42 ,318 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/12799/crab-dip/
Hot Bean Dip,196,20,14 ,8.6,9.3 ,43 ,357 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22163/hot-bean-dip/
Best Egg Rolls,334,8,20.5 ,22.6,14.2 ,40 ,220 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14704/best-egg-rolls/
Extra Easy Hummus,118,4,4.4 ,16.5,3.7 ,0 ,502 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20797/extra-easy-hummus/
Nacho Cheese Sauce,282,4,22.5 ,6.6,13.5 ,67 ,1095 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24738/nacho-cheese-sauce/
Seven Layer Dip I,277,15,19.5 ,9.3,16.8 ,63 ,447 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16845/seven-layer-dip-i/
Apple Dip,137,8,9.8 ,9.8,2.1 ,31 ,86 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14978/apple-dip/
Dawn's Candied Walnuts,238,16,18.6 ,16.9,4.5 ,< 1 ,39 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9443/dawns-candied-walnuts/
Vicki's Hush Puppies,277,8,12.9 ,36.7,4.6 ,46 ,407 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25241/vickis-hush-puppies/
Gary's Stuffed Mushrooms,413,12,37.9 ,14.4,5.9 ,106 ,693 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24174/garys-stuffed-mushrooms/
Restaurant Style Chicken Nachos,407,6,25.7 ,24.4,21.4 ,54 ,670 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26924/restaurant-style-chicken-nachos/
Ali's Amazing Bruschetta,176,6,7.2 ,22.4,5.6 ,4 ,288 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/48156/alis-amazing-bruschetta/
Grill Master Chicken Wings,181,10,14.6 ,2.3,10.1 ,41 ,1154 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/213068/grill-master-chicken-wings/
Cheese Fondue,670,5,28.9 ,56.9,36.5 ,91 ,940 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13714/cheese-fondue/
Best Bruschetta Ever,47,8,4.2 ,1.5,1.3 ,2 ,40 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27192/best-bruschetta-ever/
Di's Delicious Deluxe Deviled Eggs,70,12,6.1 ,0.6,3.2 ,95 ,63 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25532/dis-delicious-deluxe-deviled-eggs/
Chicken Enchilada Dip,128,30,11.5 ,0.8,5.7 ,28 ,163 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24643/chicken-enchilada-dip/
Chicken Flautas,127,36,5.5 ,12.1,7.7 ,20 ,135 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8878/chicken-flautas/
Artichoke Spinach Dip,80,56,7.5 ,1.6,2 ,19 ,90 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26699/artichoke-spinach-dip/
Roasted Garlic Bread,322,8,17.3 ,35.4,6.9 ,32 ,436 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/75133/roasted-garlic-bread/
Hot Mexican Spinach Dip,40,56,3.1 ,1.4,1.9 ,9 ,100 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24191/hot-mexican-spinach-dip/
The Best Fresh Tomato Salsa,5,40,0 ,1.1,0.2 ,0 ,25 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/214893/the-best-fresh-tomato-salsa/
Pita Chips,125,24,5.3 ,17.7,3.2 ,0 ,246 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14827/pita-chips/
Tomatillo Salsa Verde,24,8,0.6 ,4.6,0.8 ,0 ,439 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/94028/tomatillo-salsa-verde/
Divine Hard-Boiled Eggs,72,12,5 ,0.4,6.3 ,186 ,70 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/176229/divine-hard-boiled-eggs/
Pico De Gallo,21,4,0.1 ,4.7,0.8 ,0 ,76 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/35304/pico-de-gallo/
Slow Cooker Reuben Dip,298,12,22.9 ,5.5,17.9 ,76 ,636 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89707/slow-cooker-reuben-dip/
Candied Pecans ,393,10,32.7 ,26.5,4.5 ,0 ,238 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/230557/candied-pecans/
Pumpkin Dip,61,32,2.5 ,9.4,0.7 ,8 ,53 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26498/pumpkin-dip/
Baba Ghanoush,66,12,5.2 ,4.6,1.6 ,0 ,7 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14859/baba-ghanoush/
Baked Tortilla Chips,147,6,4.1 ,26,3.3 ,0 ,418 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20482/baked-tortilla-chips/
Special Deviled Eggs,151,6,12.4 ,4,6.6 ,189 ,220 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22390/special-deviled-eggs/
Roasted Chickpeas,161,4,7.7 ,19.3,4.2 ,0 ,337 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/81548/roasted-chickpeas/
Great Garlic Bread,332,8,18 ,30.4,12.2 ,48 ,588 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21080/great-garlic-bread/
Mango Salsa,21,8,0.1 ,5.4,0.3 ,0 ,1 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/48032/mango-salsa/
Pico de Gallo,10,12,0.1 ,2.2,0.4 ,0 ,15 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/203800/pico-de-gallo/
Garlic Bread Fantastique,399,6,20.9 ,43.9,9.9 ,44 ,847 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27055/garlic-bread-fantastique/
"Veronica's Hot Spinach, Artichoke and Chile Dip",314,10,28.8 ,7.8,9 ,60 ,682 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/60357/veronicas-hot-spinach-artichoke-and-chile-dip/
No-Bake Energy Bites,94,24,5.3 ,10.6,2.5 ,0 ,28 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/239969/no-bake-energy-bites/
Jalapeno Poppers I,187,15,13.8 ,9.8,6.5 ,58 ,235 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26835/jalapeno-poppers-i/
Grilled Portobello Mushrooms,217,3,19 ,11,3.2 ,0 ,13 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13913/grilled-portobello-mushrooms/
Filipino Lumpia,168,15,10.5 ,11,7 ,23 ,288 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/35151/filipino-lumpia/
Sausage Jalapeno Poppers,189,20,18.2 ,2,4.6 ,40 ,256 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25539/sausage-jalapeno-poppers/
Reuben Dip,393,9,31.7 ,7.3,20.9 ,77 ,830 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14865/reuben-dip/
Deviled Eggs I,107,6,8.7 ,0.7,6.4 ,188 ,96 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15368/deviled-eggs-i/
Savory Crab Stuffed Mushrooms,176,8,11.8 ,7.3,9.8 ,65 ,233 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25497/savory-crab-stuffed-mushrooms/
"Heather's Cilantro, Black Bean, and Corn Salsa",30,72,0.9 ,4.9,1.1 ,0 ,85 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/143315/heathers-cilantro-black-bean-and-corn-salsa/
Crab Rangoon III,203,15,11.7 ,15.8,8.3 ,39 ,268 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25536/crab-rangoon-iii/
Mini Ham And Cheese Rolls,145,24,9 ,10.2,5.7 ,18 ,276 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15018/mini-ham-and-cheese-rolls/
Bacon and Cheddar Stuffed Mushrooms,110,8,9.7 ,0.9,4.7 ,22 ,170 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21061/bacon-and-cheddar-stuffed-mushrooms/
Perfect Sushi Rice,112,15,1 ,23.5,1.7 ,0 ,158 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/99211/perfect-sushi-rice/
Microwave Popcorn,137,3,3.1 ,24.6,4.1 ,0 ,389 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87305/microwave-popcorn/
Bacon Wrapped Barbeque Shrimp,160,3,10.5 ,0.3,15.1 ,83 ,627 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16647/bacon-wrapped-barbeque-shrimp/
Ranch Oyster Crackers,137,20,7 ,16.2,1.9 ,0 ,558 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15956/ranch-oyster-crackers/
Carla's Fruit Dip,164,10,8.7 ,20.9,1.1 ,9 ,46 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20657/carlas-fruit-dip/
Buffalo Chicken Wings I,256,8,23.9 ,0.2,10 ,46 ,302 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8947/buffalo-chicken-wings-i/
Mexican Cream Cheese Rollups,428,8,19.4 ,43.5,9.1 ,34 ,927 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14922/mexican-cream-cheese-rollups/
Zesty Porcupine Meatballs,408,5,21.6 ,32.4,20.6 ,105 ,1250 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14676/zesty-porcupine-meatballs/
Rockin' Salsa,25,64,0.2 ,5.9,0.9 ,0 ,230 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/175547/rockin-salsa/
Espinacas con Garbanzos (Spinach with Garbanzo Beans),169,4,4.9 ,26,7.3 ,0 ,600 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/161535/espinacas-con-garbanzos-spinach-with-garbanzo-beans/
Chicago Dip,341,10,24.1 ,26.3,6.1 ,18 ,471 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14972/chicago-dip/
Spinach and Artichoke Dip,559,6,48.4 ,11.1,22.3 ,71 ,1147 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13887/spinach-and-artichoke-dip/
Warm Crab Parmesan Dip,88,40,8.4 ,0.8,2.5 ,16 ,107 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25517/warm-crab-parmesan-dip/
Artichoke Bruschetta,278,8,11.1 ,35.7,10 ,11 ,593 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24634/artichoke-bruschetta/
Baby BLT,71,24,6.3 ,1.1,2.5 ,9 ,172 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/39643/baby-blt/
Dip For The Stars,162,30,15.2 ,2.9,4.2 ,36 ,234 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/38425/dip-for-the-stars/
Toasted Pumpkin Seeds with Sugar and Spice,290,4,19.3 ,25,8.5 ,0 ,152 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/93408/toasted-pumpkin-seeds-with-sugar-and-spice/
Taco Dip I,78,25,4.9 ,5.2,2.6 ,17 ,204 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17069/taco-dip-i/
Bacon Water Chestnut Rolls,85,24,6.1 ,6.5,1.3 ,7 ,132 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14919/bacon-water-chestnut-rolls/
Dinah's Stuffed Mushrooms,383,10,31.3 ,11.2,15.5 ,106 ,412 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24582/dinahs-stuffed-mushrooms/
Mexican Shrimp Cocktail,258,6,6.7 ,15.8,33.3 ,295 ,711 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87778/mexican-shrimp-cocktail/
Feta Cheese Foldovers,286,12,20.4 ,19.4,6.4 ,49 ,319 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13509/feta-cheese-foldovers/
Seven Layer Dip II,42,64,2.9 ,2.8,1.5 ,5 ,92 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23176/seven-layer-dip-ii/
Tomato and Mozzarella Bites,225,8,17.9 ,5.4,9.4 ,39 ,152 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/104806/tomato-and-mozzarella-bites/
Candied Almonds,304,8,18 ,32.7,7.6 ,0 ,< 1 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/152931/candied-almonds/
