Name,Calories,Serving Size,Fat(g),Carbohydrate(g),Protein(g),Cholesterol(mg),Sodium(mg),Category,URL
Detroit Hot Honey Wings,420,6,22.8 ,47.1,10.6 ,72 ,700 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/142120/detroit-hot-honey-wings/
Spicy Hot Chicken Legs,685,6,55.6 ,5,41.4 ,159 ,1025 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/74705/spicy-hot-chicken-legs/
Easy Roasted Red Pepper Hummus,445,2,26.9 ,44.1,15.9 ,0 ,908 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15436/easy-roasted-red-pepper-hummus/
Candy Coated Pecans,342,10,31.1 ,16.8,4.3 ,0 ,9 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16694/candy-coated-pecans/
Puppy Chow I,636,12,27 ,95.3,10.5 ,26 ,492 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/11229/puppy-chow-i/
Mary's Roasted Red Pepper Dip,116,32,11.1 ,1,3.3 ,20 ,224 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23929/marys-roasted-red-pepper-dip/
Baked Pork Spring Rolls,154,12,4.9 ,20.1,6.7 ,15 ,201 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26706/baked-pork-spring-rolls/
Maryland Crab Cakes II,211,4,13 ,2.6,20.1 ,185 ,373 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19489/maryland-crab-cakes-ii/
Bacon Wrapped Dates Stuffed with Blue Cheese,78,32,3 ,10.8,2.8 ,8 ,157 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/75417/bacon-wrapped-dates-stuffed-with-blue-cheese/
Deviled Eggs II,90,6,6.9 ,0.8,6.4 ,187 ,86 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16698/deviled-eggs-ii/
King Crab Appetizers,299,12,18 ,25.1,9.6 ,40 ,721 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17076/king-crab-appetizers/
Restaurant-Style Potato Skins,519,6,32.8 ,40.9,17.1 ,75 ,361 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15077/restaurant-style-potato-skins/
Broccoli Chicken Roli,183,16,12.7 ,7.8,8.9 ,27 ,275 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9036/broccoli-chicken-roli/
Cheese Ball I,149,32,14 ,1.9,4.8 ,28 ,179 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9358/cheese-ball-i/
Cocktail Meatballs I,458,8,22.8 ,52.5,12.7 ,72 ,1038 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14810/cocktail-meatballs-i/
Taco Bake I,413,8,26.9 ,15.4,25.9 ,93 ,1037 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14651/taco-bake-i/
Original Chex® Party Mix,146,24,7 ,19.4,3.1 ,8 ,365 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/87605/original-chex-party-mix/
Brie Cheese Appetizer,286,8,19.5 ,19.1,8.6 ,28 ,264 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15015/brie-cheese-appetizer/
Granola Bars III,212,20,8.6 ,32.2,3.4 ,9 ,66 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16498/granola-bars-iii/
Yummy Roll Ups,231,5,20.9 ,2.4,8.8 ,65 ,881 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22453/yummy-roll-ups/
Blooming Onion and Dipping Sauce,290,6,20.2 ,22.5,5.4 ,43 ,844 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17351/blooming-onion-and-dipping-sauce/
15-Minute Dinner Nachos Supreme,588,4,23 ,66.9,27.5 ,78 ,1479 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/177518/15-minute-dinner-nachos-supreme/
Stuffed Jalapenos III,186,12,18 ,1.9,4.3 ,37 ,313 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26975/stuffed-jalapenos-iii/
Watermelon Fire and Ice Salsa,5,32,0 ,1.3,0.1 ,0 ,29 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20846/watermelon-fire-and-ice-salsa/
Honey Butter,185,8,17.3 ,8.7,0.2 ,46 ,123 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24768/honey-butter/
Honey Mustard Sauce,164,18,14.6 ,9,0.2 ,7 ,188 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23597/honey-mustard-sauce/
Homemade Butter,103,16,11 ,0.8,0.6 ,41 ,48 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/42264/homemade-butter/
Pork Dumplings,752,6,28.8 ,81.1,39.2 ,129 ,1449 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14759/pork-dumplings/
Honey Lime Chicken Wings,299,9,24.4 ,13.6,7.4 ,21 ,85 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8795/honey-lime-chicken-wings/
Easy Hummus,23,16,0.2 ,4.5,1 ,0 ,53 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20730/easy-hummus/
Texas Caviar I,107,16,5.4 ,11.8,3.5 ,0 ,415 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24720/texas-caviar-i/
Spanakopita II,246,27,18.4 ,15.9,5 ,62 ,313 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24242/spanakopita-ii/
Avocado Corn Salsa,81,32,6.5 ,6.1,1.1 ,0 ,73 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26700/avocado-corn-salsa/
Parmesan Spinach Balls,258,10,15.6 ,19.1,11.8 ,108 ,633 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25528/parmesan-spinach-balls/
Hot Crab Dip,81,40,7 ,0.6,4 ,26 ,119 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22560/hot-crab-dip/
Dill Dip III,131,32,14 ,1.5,0.7 ,12 ,216 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14831/dill-dip-iii/
Caramel Snack Mix,262,20,12.6 ,36.9,3.4 ,12 ,183 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14950/caramel-snack-mix/
Sweet and Sour Meatballs,152,12,5.6 ,17.4,8.3 ,38 ,22 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15551/sweet-and-sour-meatballs/
"Sweet, Salty, Spicy Party Nuts",219,16,18.1 ,12.7,4.8 ,2 ,206 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/230159/sweet-salty-spicy-party-nuts/
Spicy Tortilla Roll-Ups,109,30,2.8 ,14.2,2.8 ,8 ,198 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15359/spicy-tortilla-roll-ups/
Sweet and Sour Sauce II,32,48,0 ,8.1,0.2 ,0 ,28 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24246/sweet-and-sour-sauce-ii/
Crab Stuffed Mushrooms,167,6,12.1 ,4.2,11.7 ,39 ,275 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/12751/crab-stuffed-mushrooms/
Bacon-Wrapped Jalapeno Poppers,213,6,17.7 ,2.5,11 ,51 ,539 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/233603/bacon-wrapped-jalapeno-poppers/
Quick Asian Lettuce Wraps ,836,4,31 ,95.5,45.8 ,74 ,774 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/34721/quick-asian-lettuce-wraps/
Beer Dip I,81,32,7.2 ,1,2.8 ,23 ,147 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14817/beer-dip-i/
Sausage Stuffed Mushrooms II,178,10,17 ,1.6,5 ,40 ,219 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24886/sausage-stuffed-mushrooms-ii/
Hot Corn Dip,29,48,1.7 ,3.3,0.8 ,5 ,78 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26823/hot-corn-dip/
Fresh Salsa I,6,48,0 ,1.5,0.2 ,0 ,74 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26787/fresh-salsa-i/
Cajun Appetizer Meatballs,504,4,25.4 ,45,22.9 ,133 ,1272 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/26593/cajun-appetizer-meatballs/
Bacon and Date Appetizer,560,6,43.7 ,32.2,13.7 ,51 ,631 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22694/bacon-and-date-appetizer/
Toasted Pumpkin Seeds,104,16,9 ,3.3,4.3 ,3 ,88 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/55091/toasted-pumpkin-seeds/
Deviled Eggs,77,8,5.5 ,0.7,6.3 ,187 ,88 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/13870/deviled-eggs/
Spiced Pecans,443,6,39 ,24.7,5.6 ,0 ,204 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23720/spiced-pecans/
Pot Stickers Traditional,166,15,8.2 ,17.3,5.7 ,12 ,378 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22460/pot-stickers-traditional/
Artichoke Dip I,79,40,7.4 ,1.1,2.4 ,8 ,136 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20859/artichoke-dip-i/
Salsa II,9,96,0.1 ,2,0.4 ,0 ,111 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24243/salsa-ii/
Kale Chips,174,2,8.3 ,22.5,7.4 ,0 ,257 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/214784/kale-chips/
Insanely Amazing Jalapeno Cheese Dip,438,8,28.1 ,34.7,12.7 ,25 ,1137 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/203218/insanely-amazing-jalapeno-cheese-dip/
Baked Maryland Lump Crab Cakes,92,12,4.1 ,2.5,10.8 ,34 ,344 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139340/baked-maryland-lump-crab-cakes/
Parmesan Garlic Bread,267,8,12.7 ,31.8,7 ,31 ,682 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25529/parmesan-garlic-bread/
Bread Machine Garlic Bread,142,12,1.6 ,26.9,4.7 ,3 ,303 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16667/bread-machine-garlic-bread/
Easy Sausage Cheese Balls,137,36,9.4 ,7.5,5.5 ,22 ,354 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14826/easy-sausage-cheese-balls/
Warm Blue Cheese Dip with Garlic and Bacon,155,14,14.7 ,1.1,4.7 ,35 ,279 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24732/warm-blue-cheese-dip-with-garlic-and-bacon/
How to Make Perfect Hard Boiled Eggs  ,72,6,5 ,0.4,6.3 ,186 ,70 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/235595/how-to-make-perfect-hard-boiled-eggs/
Awesome Egg Rolls,208,8,12.3 ,17.7,7.2 ,49 ,396 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/84099/awesome-egg-rolls/
Grilled Buffalo Wings,129,8,7.3 ,5.5,10 ,30 ,882 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/68028/grilled-buffalo-wings/
Caprese Appetizer,104,10,7.3 ,2.4,7.2 ,18 ,179 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/212896/caprese-appetizer/
Hot Onion Dip,84,48,7.9 ,0.8,2.7 ,20 ,118 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23934/hot-onion-dip/
Seven Layer Tex Mex Dip,221,12,16.7 ,10.7,7.8 ,33 ,466 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23591/seven-layer-tex-mex-dip/
Onion Rings,330,4,22.6 ,29.1,3.3 ,0 ,485 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24610/onion-rings/
LuvAnn's Guacamole,46,16,3.7 ,3.5,0.7 ,0 ,293 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22976/luvanns-guacamole/
Garlic-Ginger Chicken Wings,230,10,7.5 ,21.1,18.8 ,48 ,258 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/219106/garlic-ginger-chicken-wings/
Cheddar Ranch Dip,75,24,6.3 ,1.5,3.3 ,16 ,231 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22490/cheddar-ranch-dip/
Yummy Artichoke Dip,104,32,10.1 ,1.1,2.4 ,14 ,192 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20672/yummy-artichoke-dip/
Baked Potato Dip,101,32,8.9 ,1.8,3.9 ,22 ,143 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14857/baked-potato-dip/
Jalapeno Hummus,75,8,3.5 ,9.1,2.6 ,0 ,191 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/46462/jalapeno-hummus/
Cherry Chicken Lettuce Wraps,297,6,12.7 ,22.8,24.4 ,58 ,129 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16198/cherry-chicken-lettuce-wraps/
Honey Ginger Shrimp,166,4,8.1 ,4.1,19 ,173 ,200 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/83388/honey-ginger-shrimp/
Marinated Scallops Wrapped in Bacon,83,24,2.1 ,9.1,6.9 ,17 ,270 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/159945/marinated-scallops-wrapped-in-bacon/
Mexican Layered Dip,195,10,12.8 ,13.4,7.3 ,28 ,525 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15340/mexican-layered-dip/
Fluff Dip for Fruit,86,32,3.7 ,11.1,0.4 ,< 1 ,95 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21757/fluff-dip-for-fruit/
Spicy Maryland Crab Dip,111,16,9.2 ,1.2,5.9 ,35 ,152 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25506/spicy-maryland-crab-dip/
Simple Deviled Eggs,327,2,26 ,4.7,19.3 ,563 ,902 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/222589/simple-deviled-eggs/
Tortilla Rollups II,176,20,8.6 ,19.3,5.3 ,18 ,317 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21041/tortilla-rollups-ii/
Asparagus Wrapped in Crisp Prosciutto,64,16,5.4 ,0.6,3.1 ,13 ,279 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73565/asparagus-wrapped-in-crisp-prosciutto/
Pecan Snack,117,32,10.2 ,6.7,1.4 ,0 ,74 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/27157/pecan-snack/
Caramelized Chicken Wings,528,6,32.4 ,22.4,36.2 ,142 ,963 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/217092/caramelized-chicken-wings/
Shrimpcargot,203,3,17 ,2.4,11.1 ,108 ,202 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/165535/shrimpcargot/
Asian Roll Lettuce Wrap,369,4,9.9 ,42.8,28.6 ,84 ,951 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/32202/asian-roll-lettuce-wrap/
Baked Buffalo Chicken Dip,407,8,35.9 ,3.2,17.1 ,107 ,1093 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/221131/baked-buffalo-chicken-dip/
Spinach Balls,259,11,12.2 ,29.6,8.2 ,76 ,732 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25273/spinach-balls/
Jet Swirl Pizza Appetizers,456,5,27.3 ,27.6,23.3 ,70 ,1432 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24598/jet-swirl-pizza-appetizers/
Smoked Salmon Spread,219,9,19 ,1.5,10.7 ,63 ,453 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15361/smoked-salmon-spread/
"Eggplant -- Easy, Good and Tasty",117,8,5.9 ,12.3,3.9 ,25 ,268 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/19693/eggplant-easy-good-and-tasty/
Smoky Chipotle Hummus,90,20,3.7 ,11.9,2.9 ,0 ,235 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/101341/smoky-chipotle-hummus/
Stuffed Mushrooms with Spinach,163,12,15.7 ,2.5,4 ,38 ,199 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25498/stuffed-mushrooms-with-spinach/
Vegetarian Sweet and Sour Meatballs,803,5,44.9 ,82.3,24.8 ,181 ,2264 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/57124/vegetarian-sweet-and-sour-meatballs/
Fig and Olive Tapenade,327,6,24 ,26.4,5.2 ,41 ,361 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/50843/fig-and-olive-tapenade/
Hot Spinach and Artichoke Dip,70,48,6.4 ,1.7,2.2 ,9 ,128 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24915/hot-spinach-and-artichoke-dip/
Baked Zucchini Fries,135,4,5 ,15,8.6 ,97 ,225 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/236302/baked-zucchini-fries/
Bacon-Balsamic Deviled Eggs,79,24,6.7 ,0.9,3.8 ,96 ,151 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/208089/bacon-balsamic-deviled-eggs/
Antojitos Minis,109,24,5 ,11.4,4.6 ,11 ,209 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/22304/antojitos-minis/
White Chocolate Gorp,142,64,8.5 ,15,2.2 ,3 ,97 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/9470/white-chocolate-gorp/
Wheat Crackers,64,32,2.5 ,9.2,1.5 ,0 ,55 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/37618/wheat-crackers/
Cowboy Caviar,233,8,9.1 ,32.3,7.9 ,0 ,1255 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/103674/cowboy-caviar/
The Best Stuffed Mushrooms,162,6,14 ,3.5,6.7 ,33 ,232 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/169625/the-best-stuffed-mushrooms/
Garlic and Parmesan Chicken Wings,276,8,19.3 ,5.4,19.8 ,56 ,246 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/231008/garlic-and-parmesan-chicken-wings/
Avocado Mango Salsa,63,8,3.8 ,8.3,0.8 ,0 ,3 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/89595/avocado-mango-salsa/
Cranberry Dip,103,32,5.2 ,14.7,1 ,8 ,25 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/96279/cranberry-dip/
Remoulade Sauce a la New Orleans,359,6,37.3 ,6.7,1 ,14 ,943 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/83665/remoulade-sauce-a-la-new-orleans/
Sweet Spicy Wings,356,12,22.7 ,23.9,15.6 ,78 ,896 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/8768/sweet-spicy-wings/
Artichoke Stuffed Mushrooms,156,12,12.7 ,6.3,6.3 ,30 ,342 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/175989/artichoke-stuffed-mushrooms/
Jalapeno Snacks,261,10,22.3 ,4.5,10.5 ,55 ,708 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/169512/jalapeno-snacks/
Buffalo Cauliflower,218,4,7.1 ,36.2,8.5 ,15 ,907 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/239616/buffalo-cauliflower/
Best Formula Three-Cheese Fondue,113,24,8.3 ,0.7,6.9 ,27 ,120 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/45657/best-formula-three-cheese-fondue/
Baked Brie in Puff Pastry,281,8,21 ,14.5,8.7 ,28 ,255 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/15192/baked-brie-in-puff-pastry/
Best Ever Party Appetizer,201,10,17.3 ,4.7,8.1 ,27 ,329 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20509/best-ever-party-appetizer/
Blue Cheese Dip II,104,24,10.7 ,1.1,1.5 ,11 ,124 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24901/blue-cheese-dip-ii/
Marinated Mushrooms II,54,16,4.6 ,2.8,1 ,0 ,148 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24595/marinated-mushrooms-ii/
Alabama Fire Crackers,181,30,13.9 ,12.5,1.2 ,0 ,320 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/214184/alabama-fire-crackers/
Hoagie Dip,552,16,41.4 ,28.5,18.1 ,59 ,1289 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23938/hoagie-dip/
Maryland Crab Cakes III,409,6,31.6 ,12.2,18.6 ,71 ,820 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/21475/maryland-crab-cakes-iii/
Crispy Honey Sriracha Chicken Wings,315,4,14.3 ,28.7,19.3 ,59 ,3152 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/241001/crispy-honey-sriracha-chicken-wings/
Avocado and Tuna Tapas,294,4,18.2 ,11,23.9 ,27 ,154 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/139620/avocado-and-tuna-tapas/
Thai Chicken Balls,313,8,15.5 ,14.8,27.6 ,69 ,247 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/23764/thai-chicken-balls/
Beef Samosas,258,18,14.8 ,23.8,7.6 ,21 ,346 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24871/beef-samosas/
Herman Reunion Cheese Ball,413,12,38.6 ,3.7,14.5 ,101 ,416 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16600/herman-reunion-cheese-ball/
Sweet and Sour Meatballs I,562,7,35.2 ,37.5,24 ,137 ,99 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/14658/sweet-and-sour-meatballs-i/
Game Day Bites,176,24,8.8 ,15.4,8.7 ,25 ,327 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/25511/game-day-bites/
Cheesy Buffalo Chicken Dip,450,8,38.4 ,5.1,18.5 ,76 ,887 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/157725/cheesy-buffalo-chicken-dip/
Daddy's Popcorn,285,4,22.8 ,18.7,3.2 ,0 ,209 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/73032/daddys-popcorn/
Jen's Fresh and Spicy Salsa,9,16,0.1 ,2,0.5 ,0 ,159 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/74591/jens-fresh-and-spicy-salsa/
Spinach Stuffed Portobello Mushrooms,168,4,10.7 ,7.5,11.3 ,70 ,591 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/220810/spinach-stuffed-portobello-mushrooms/
Marinated Cheese,169,16,16.3 ,1.4,4.7 ,30 ,203 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/56776/marinated-cheese/
Cocktail Meatballs IV,601,6,40.4 ,33.4,25.7 ,129 ,313 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/16655/cocktail-meatballs-iv/
Buffalo Chicken Wings III,406,4,35.7 ,4.9,17.9 ,112 ,1224 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/24086/buffalo-chicken-wings-iii/
Simple Roasted Chickpea Snack,153,4,8 ,17.5,3.9 ,0 ,296 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/197683/simple-roasted-chickpea-snack/
Wonton Wrappers,14,72,0.1 ,2.7,0.4 ,3 ,17 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20881/wonton-wrappers/
Won Ton Wrapper Appetizers,91,60,6.7 ,4.7,2.7 ,11 ,166 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/20883/won-ton-wrapper-appetizers/
Authentic Chinese Egg Rolls (from a Chinese person),169,20,7.4 ,16,9.9 ,46 ,315 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/61913/authentic-chinese-egg-rolls-from-a-chinese-person/
Mexican Pizza I,770,4,48.1 ,42.3,42.1 ,150 ,1542 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/17368/mexican-pizza-i/
Crispy Edamame,141,5,8.5 ,7.7,10.3 ,4 ,71 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/150772/crispy-edamame/
Parmesan Broccoli Balls,71,36,5.1 ,4.2,2.4 ,32 ,186 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/41116/parmesan-broccoli-balls/
Caramelized Spicy Pumpkin Seeds,117,8,4.8 ,16.6,3 ,0 ,585 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/152418/caramelized-spicy-pumpkin-seeds/
Classic Texas Caviar,40,40,2.2 ,4,1.2 ,0 ,112 ,Appetizers & Snacks,https://www.allrecipes.com/recipe/96563/classic-texas-caviar/
Greek Scrambled Eggs,257,2,21.2 ,2.1,14.8 ,328 ,710 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/48983/greek-scrambled-eggs/
Puff Pastry Waffles,338,8,23.4 ,27.7,4.5 ,0 ,153 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/246512/puff-pastry-waffles/
Easy Quiche,371,8,26.6 ,12.5,21 ,161 ,797 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/23389/easy-quiche/
"Herb, Sausage, and Cheese Dutch Baby",287,4,17.6 ,18.9,13.1 ,176 ,573 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/256989/herb-sausage-and-cheese-dutch-baby/
Favorite Banana Blueberry Quick Bread,278,12,13.1 ,37.7,3.9 ,31 ,166 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/7163/favorite-banana-blueberry-quick-bread/
Ultimate Tofu Breakfast Burrito Bowls,579,3,39.6 ,57.2,22 ,0 ,1171 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/256021/ultimate-tofu-breakfast-burrito-bowls/
Honey Nut Granola,188,20,11.1 ,19.9,3.7 ,0 ,1 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21208/honey-nut-granola/
French Toast Souffle,241,12,9.8 ,28.4,9.8 ,142 ,321 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20935/french-toast-souffle/
Breakfast Pita Pizza,873,2,62.9 ,43.5,36.8 ,426 ,1135 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/245260/breakfast-pita-pizza/
Fluffy Pancakes,230,4,8.2 ,32.7,6.4 ,65 ,650 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/162760/fluffy-pancakes/
Good Old Fashioned Pancakes,158,8,5.9 ,21.7,4.5 ,38 ,504 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/21014/good-old-fashioned-pancakes/
Downeast Maine Pumpkin Bread,263,24,10.3 ,40.6,3.1 ,31 ,305 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6820/downeast-maine-pumpkin-bread/
Mom's Zucchini Bread,255,24,13.1 ,32.1,3.3 ,23 ,180 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6698/moms-zucchini-bread/
Banana Sour Cream Bread,263,32,10.4 ,40.1,3.7 ,35 ,200 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/6984/banana-sour-cream-bread/
Fluffy French Toast,123,12,2.7 ,19.4,4.8 ,48 ,230 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/16895/fluffy-french-toast/
Waffles I,382,6,21.6 ,38,8.7 ,68 ,390 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/22180/waffles-i/
Buttermilk Pancakes II,219,12,7.4 ,30.7,7.2 ,63 ,515 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/24530/buttermilk-pancakes-ii/
Basic Crepes,216,4,9.2 ,25.5,7.4 ,111 ,235 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/16383/basic-crepes/
Classic Waffles,379,5,16.2 ,47.6,10.2 ,113 ,899 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20513/classic-waffles/
Crustless Spinach Quiche,309,6,23.7 ,4.8,20.4 ,209 ,546 ,Breakfast & Brunch,https://www.allrecipes.com/recipe/20876/crustless-spinach-quiche/
